,Products_with_common_ingredient,The_common_ingredients
68,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'geraniol', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'citronellol', 'benzyl alcohol', 'parfum'}"
69,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'water'}"
70,"('NIVEA Dry Comfort Roll-on For Women, 72h- 50ml (Pack Of 3) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'benzyl salicylate', 'steareth-21', 'ppg-15 stearyl ether', 'persea gratissima oil', 'alpha-isomethyl ionone', 'geraniol', 'aluminum chlorohydrate', 'trisodium edta', 'aluminum sesquichlorohydrate', 'linalool', 'steareth-2', 'magnesium aluminum silicate', 'limonene', 'citronellol', 'benzyl alcohol', 'parfum'}"
71,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria')","{'geraniol', 'aqua', 'alcohol denat', 'citronellol', 'parfum', 'coumarin'}"
72,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'cetearyl alcohol', 'cyclomethicone', 'geraniol', 'glycerin', 'alcohol denat', 'tapioca starch', 'tocopheryl acetate', 'citronellol'}"
73,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'cetearyl alcohol', 'aqua', 'glycerin', 'tocopheryl acetate', 'parfum'}"
74,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'parfum', 'cyclomethicone'}"
75,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'aqua', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'citronellol', 'parfum'}"
76,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'geraniol', 'glycerin'}"
77,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'geraniol', 'coumarin', 'citronellol', 'cyclomethicone'}"
78,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'aqua', 'cetearyl alcohol', 'citronellol'}"
79,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'cetearyl alcohol', 'butyl methoxydibenzoylmethane', 'cyclomethicone', 'geraniol', 'aqua', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'citronellol', 'parfum'}"
80,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'aqua', 'glycerin'}"
81,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'tocopheryl acetate', 'glycerin', 'alcohol denat'}"
82,"('NIVEA Sun UV Sunscreen Face Shine Control Cream SPF 50 - 50ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'geraniol', 'aqua', 'parfum', 'citronellol'}"
83,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'alcohol denat', 'linalool', 'citronellol', 'propylene glycol'}"
84,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'aqua', 'parfum'}"
85,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'linalool', 'parfum', 'alpha-isomethyl ionone'}"
86,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'aqua', 'alpha-isomethyl ionone', 'alcohol denat', 'linalool', 'limonene', 'citronellol', 'parfum'}"
87,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'peg-40 hydrogenated castor oil', 'geraniol', 'alpha-isomethyl ionone', 'linalool', 'limonene'}"
88,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'coumarin'}"
89,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'citronellol', 'aqua', 'linalool', 'limonene'}"
90,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'geraniol', 'aqua', 'alpha-isomethyl ionone', 'alcohol denat', 'linalool', 'citronellol', 'propylene glycol', 'parfum'}"
91,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'aqua', 'propylene glycol'}"
92,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'alcohol denat'}"
93,"('NIVEA MEN Deep Aftershave Lotion - 100ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'geraniol', 'aqua', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'parfum'}"
94,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria')","{'panthenol', 'cetearyl alcohol', 'bht', 'sodium ascorbyl phosphate', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'glyceryl stearate', 'phenoxyethanol'}"
95,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'octyldodecanol', 'cyclomethicone', 'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'benzyl alcohol'}"
96,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'hydrogenated coco-glycerides', 'myristyl myristate', 'alpha-isomethyl ionone', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'linalool', 'dimethicone', 'glyceryl stearate', 'citronellol', 'benzyl alcohol', 'phenoxyethanol', 'butylphenyl methylpropional'}"
97,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'fragrance', 'geraniol', 'alpha-isomethyl ionone', 'glycerin', 'linalool'}"
98,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'fragrance', 'cyclomethicone', 'geraniol', 'octyldodecanol', 'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'citronellol', 'butylphenyl methylpropional'}"
99,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'octyldodecanol', 'linalool', 'citronellol'}"
100,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'alcohol denat', 'linalool', 'sodium polyacrylate', 'citronellol', 'propylene glycol', 'phenoxyethanol', 'butylphenyl methylpropional', 'panax ginseng root extract', 'cetearyl alcohol', 'cyclomethicone', 'geraniol', 'alpha-isomethyl ionone', 'glycerin', 'fucus vesiculosus extract', 'hydrolyzed pearl', 'trisodium edta', '2-hexanediol', '1', 'benzyl alcohol', 'octyldodecanol', 'glyceryl stearate citrate', 'distarch phosphate', 'nelumbium speciosum flower extract', 'glyceryl glucoside', 'myristyl myristate', 'sodium ascorbyl phosphate', 'tocopheryl acetate', 'caprylic/capric triglyceride'}"
101,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'bht', 'octyldodecanol', 'glycerin', 'glyceryl glucoside', 'propylene glycol'}"
102,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'mineral oil', 'fragrance', 'methylparaben', 'hydrogenated coco-glycerides', 'microcrystalline wax', 'geraniol', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'dimethicone', 'glyceryl stearate', 'carbomer', 'phenoxyethanol'}"
103,"('NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'geraniol', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'citronellol', 'benzyl alcohol'}"
104,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria')","{'persea gratissima oil', 'parfum', 'isopropyl palmitate'}"
105,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'aqua', 'glycerin', 'tocopheryl acetate', 'glyceryl stearate', 'phenoxyethanol', 'parfum'}"
106,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'glycerin', 'citric acid'}"
107,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'ricinus communis seed oil', 'persea gratissima oil', 'aqua'}"
108,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'cetearyl alcohol', 'bht', 'sodium ascorbyl phosphate', 'aqua', 'glycerin', 'trisodium edta', 'tocopheryl acetate', 'phenoxyethanol', 'parfum'}"
109,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'bht', 'ricinus communis seed oil', 'aqua', 'glycerin', 'isopropyl palmitate'}"
110,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'glyceryl stearate', 'phenoxyethanol', 'glycerin', 'tocopheryl acetate'}"
111,"('NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'persea gratissima oil', 'aqua', 'trisodium edta', 'parfum'}"
112,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Soft Cream 200ml | Jumia Nigeria')","{'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'benzyl alcohol', 'parfum'}"
113,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'linalool', 'alpha-isomethyl ionone'}"
114,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'propylene carbonate', 'propane', 'octyldodecanol', 'cyclomethicone', 'alpha-isomethyl ionone', 'aluminum chlorohydrate', 'dimethiconol', 'dimethicone', 'linalool', 'disteardimonium hectorite', 'isopropyl palmitate'}"
115,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'persea gratissima oil', 'linalool', 'octyldodecanol'}"
116,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'octyldodecanol', 'cyclomethicone', 'alpha-isomethyl ionone', 'linalool', 'benzyl alcohol', 'parfum'}"
117,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'isopropyl palmitate', 'octyldodecanol'}"
118,"('NIVEA MEN Deep Espresso Deodorant Spray - 200ml (Pack Of 2) | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'persea gratissima oil', 'alpha-isomethyl ionone', 'aluminum chlorohydrate', 'linalool', 'benzyl alcohol', 'parfum'}"
119,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria')","{'linalool', 'alpha-isomethyl ionone', 'glycerin', 'limonene'}"
120,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'alpha-isomethyl ionone', 'linalool', 'dimethicone', 'citronellol', 'limonene', 'butylphenyl methylpropional'}"
121,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'aqua', 'linalool', 'citronellol', 'limonene', 'simmondsia chinensis oil'}"
122,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'myristyl myristate', 'aqua', 'alpha-isomethyl ionone', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'linalool', 'sodium carbomer', 'citronellol', 'benzyl alcohol', 'phenoxyethanol', 'butylphenyl methylpropional', 'parfum'}"
123,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'aqua', 'glycerin', 'cera microcristallina'}"
124,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'hydrogenated coco-glycerides', 'stearic acid', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'dimethicone', 'glyceryl stearate', 'phenoxyethanol'}"
125,"('NIVEA Soft Cream 200ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'benzyl salicylate', 'aqua', 'alpha-isomethyl ionone', 'linalool', 'limonene', 'citronellol', 'benzyl alcohol', 'parfum'}"
126,"('NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria', 'NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria')","{'fragrance', 'geraniol', 'alpha-isomethyl ionone', 'linalool', 'limonene'}"
127,"('NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'linalool', 'limonene'}"
128,"('NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'geraniol', 'linalool', 'alpha-isomethyl ionone', 'glycerin'}"
129,"('NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'fragrance', 'glycerin', 'water'}"
130,"('NIVEA Orange & Avocado Oil Shower Gel for Women 500ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'geraniol', 'linalool', 'alpha-isomethyl ionone', 'limonene'}"
131,"('NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria', 'NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria')","{'citronellol', 'linalool', 'limonene', 'octyldodecanol'}"
132,"('NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'cyclomethicone', 'geraniol', 'octyldodecanol', 'alpha-isomethyl ionone', 'linalool', 'citronellol', 'butylphenyl methylpropional'}"
133,"('NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'isopropyl palmitate', 'octyldodecanol'}"
134,"('NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'fragrance', 'dimethicone'}"
135,"('NIVEA Nivea Dry Impact Anti-Perspirant Spray For Men, 72h - 200ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'geraniol', 'alpha-isomethyl ionone', 'aluminum chlorohydrate', 'aluminum sesquichlorohydrate', 'linalool', 'magnesium aluminum silicate', 'limonene', 'citronellol'}"
136,"('NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria', 'NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria')","{'bht', 'cetearyl alcohol', 'octyldodecanol', 'aqua', 'linalool', 'citronellol'}"
137,"('NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'butyrospermum parkii butter', 'aroma', 'bht', 'ricinus communis seed oil', 'octyldodecanol', 'aqua', 'polyglyceryl-3 diisostearate'}"
138,"('NIVEA Lip Care Shine bundle - Blackberry, Strawberry, Watermelon | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'persea gratissima oil', 'aqua', 'linalool', 'limonene', 'citronellol'}"
139,"('NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria', 'NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria')","{'bht', 'octyldodecanol', 'aqua', 'glycerin', 'glyceryl glucoside', 'propylene glycol'}"
140,"('NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria', 'NIVEA Men Crème – All Purpose Cream For Men - 150ml (Pack Of 2) | Jumia Nigeria')","{'geraniol', 'glycerin', 'alcohol denat', 'tocopheryl acetate', 'phenoxyethanol'}"
141,"('NIVEA Perfect & Radiant EvenTone Day Cream And Face Cleansing Foam For Women -150ml | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'bht', 'geraniol', 'aqua', 'alpha-isomethyl ionone', 'trisodium edta', 'linalool', 'citronellol', 'benzyl alcohol', 'parfum'}"
142,"('NIVEA Watermelon Shine Lip Balm For Women - 4.8g | Jumia Nigeria', 'NIVEA Dry Comfort Roll-on For Women, 72h- 50ml. | Jumia Nigeria')","{'aqua', 'bht'}"
